game_date,game_id,team_home,team_away,period,clock,slug_team,player1,description,shot_pts
2021-11-19,22100233,BKN,ORL,1,11:34,BKN,Blake Griffin,[BKN 2-0] Griffin Tip Layup Shot: Made (2 PTS),2
2021-11-19,22100234,MIL,OKC,1,11:46,MIL,Jrue Holiday,[MIL 2-0] Holiday Cutting Layup Shot: Made (2 PTS) Assist: Middleton (1 AST),2
2021-11-19,22100235,NOP,LAC,1,11:43,LAC,Paul George,[LAC 2-0] George Step Back Jump shot: Made (2 PTS),2
2021-11-19,22100236,DEN,CHI,1,11:27,DEN,Austin Rivers,[DEN 3-0] Rivers 3pt Shot: Made (3 PTS) Assist: Green (1 AST),3
2021-11-19,22100237,PHX,DAL,1,11:32,DAL,Jalen Brunson,[DAL 2-0] Brunson Driving Layup Shot: Made (2 PTS),2
2021-11-19,22100238,SAC,TOR,1,11:18,SAC,Tyrese Haliburton,[SAC 2-0] Haliburton Running Dunk Shot: Made (2 PTS),2
2021-11-20,22100239,NYK,HOU,1,10:22,NYK,Mitchell Robinson,[NYK 2-0] Robinson Cutting Dunk Shot: Made (2 PTS) Assist: Walker (1 AST),2
2021-11-20,22100240,IND,NOP,1,10:43,IND,Myles Turner,[IND 3-0] Turner 3pt Shot: Made (3 PTS) Assist: LeVert (1 AST),3
2021-11-20,22100241,WAS,MIA,1,11:41,MIA,Bam Adebayo,[MIA 2-0] Adebayo Jump Shot: Made (2 PTS) Assist: Lowry (1 AST),2
2021-11-20,22100242,ATL,CHA,1,11:46,CHA,Mason Plumlee,[CHA 2-0] Plumlee Driving Hook Shot: Made (2 PTS) Assist: Hayward (1 AST),2
2021-11-20,22100243,BOS,OKC,1,11:45,BOS,Marcus Smart,[BOS 3-0] Smart 3pt Shot: Made (3 PTS) Assist: Tatum (1 AST),3
2021-11-20,22100244,MIL,ORL,1,11:17,MIL,Jrue Holiday,[MIL 1-0] Holiday Free Throw 2 of 2 (1 PTS),1
2021-11-20,22100245,MIN,MEM,1,11:25,MIN,Patrick Beverley,[MIN 2-0] Beverley Putback Layup Shot: Made (2 PTS),2
2021-11-20,22100246,POR,PHI,1,11:38,POR,Jusuf Nurkic,[POR 2-0] Nurkic Driving Reverse Layup Shot: Made (2 PTS),2
2021-11-20,22100247,SAC,UTA,1,11:03,SAC,Richaun Holmes,[SAC 2-0] Holmes Floating Jump shot: Made (2 PTS) Assist: Barnes (1 AST),2
2021-11-21,22100248,LAC,DAL,1,10:42,LAC,Ivica Zubac,[LAC 1-0] Zubac Free Throw 1 of 2 (1 PTS),1
2021-11-21,22100249,DET,LAL,1,10:51,LAL,LeBron James,[LAL 2-0] James Fadeaway Jump Shot: Made (2 PTS),2
2021-11-21,22100250,CHI,NYK,1,11:27,NYK,Evan Fournier,[NYK 2-0] Fournier Cutting Layup Shot: Made (2 PTS) Assist: Noel (1 AST),2
2021-11-21,22100251,PHX,DEN,1,11:47,PHX,Jae Crowder,[PHX 1-0] Crowder Free Throw 1 of 3 (1 PTS),1
2021-11-21,22100252,GSW,TOR,1,11:38,GSW,Jordan Poole,[GSW 3-0] Poole 3pt Shot: Made (3 PTS) Assist: Curry (1 AST),3
2021-11-22,22100253,CLE,BKN,1,11:21,BKN,Kevin Durant,[BKN 1-0] Durant Free Throw 1 of 2 (1 PTS),1
2021-11-22,22100254,WAS,CHA,1,10:21,WAS,Kyle Kuzma,[WAS 2-0] Kuzma Driving Layup Shot: Made (2 PTS),2
2021-11-22,22100255,ATL,OKC,1,11:07,ATL,Clint Capela,[ATL 2-0] Capela Putback Dunk Shot: Made (2 PTS),2
2021-11-22,22100256,BOS,HOU,1,11:00,HOU,Jae'Sean Tate,[HOU 2-0] Tate Cutting Layup Shot: Made (2 PTS) Assist: Wood (1 AST),2
2021-11-22,22100257,CHI,IND,1,11:47,IND,Justin Holiday,[IND 3-0] Holiday 3pt Shot: Made (3 PTS) Assist: Brogdon (1 AST),3
2021-11-22,22100258,MIL,ORL,1,11:26,ORL,Wendell Carter Jr.,[ORL 2-0] Carter Jr. Cutting Dunk Shot: Made (2 PTS) Assist: Suggs (1 AST),2
2021-11-22,22100259,NOP,MIN,1,11:34,NOP,Jonas Valanciunas,[NOP 2-0] Valanciunas Tip Layup Shot: Made (2 PTS),2
2021-11-22,22100260,SAS,PHX,1,11:23,PHX,Jae Crowder,[PHX 3-0] Crowder 3pt Shot: Made (3 PTS) Assist: Booker (1 AST),3
2021-11-22,22100261,UTA,MEM,1,11:28,MEM,Desmond Bane,[MEM 3-0] Bane 3pt Shot: Made (3 PTS) Assist: Anderson (1 AST),3
2021-11-22,22100262,SAC,PHI,1,11:33,PHI,Tyrese Maxey,[PHI 2-0] Maxey Pullup Jump shot: Made (2 PTS),2
2021-11-23,22100263,DET,MIA,1,11:43,MIA,Duncan Robinson,[MIA 2-0] Robinson Reverse Layup Shot: Made (2 PTS) Assist: Adebayo (1 AST),2
2021-11-23,22100264,NYK,LAL,1,11:17,NYK,Julius Randle,[NYK 2-0] Randle Layup Shot: Made (2 PTS),2
2021-11-23,22100265,POR,DEN,1,10:51,DEN,Aaron Gordon,[DEN 2-0] Gordon Turnaround Fadeaway Bank Jump Shot: Made (2 PTS),2
2021-11-23,22100266,LAC,DAL,1,11:27,LAC,Ivica Zubac,[LAC 1-0] Zubac Free Throw 1 of 2 (1 PTS),1
2021-11-24,22100267,CLE,PHX,1,11:42,CLE,Jarrett Allen,[CLE 2-0] Allen Turnaround Hook Shot: Made (2 PTS) Assist: Garland (1 AST),2
2021-11-24,22100268,IND,LAL,1,10:54,IND,Domantas Sabonis,[IND 2-0] Sabonis Layup Shot: Made (2 PTS),2
2021-11-24,22100269,ORL,CHA,1,11:04,ORL,Franz Wagner,[ORL 2-0] Wagner Driving Floating Jump Shot: Made (2 PTS),2
2021-11-24,22100270,BOS,BKN,1,10:39,BKN,Patty Mills,[BKN 3-0] Mills 3pt Shot: Made (3 PTS) Assist: Bembry (1 AST),3
2021-11-24,22100271,HOU,CHI,1,11:26,CHI,Javonte Green,[CHI 3-0] Green 3pt Shot: Made (3 PTS) Assist: Vucevic (1 AST),3
2021-11-24,22100272,MEM,TOR,1,11:45,MEM,Jaren Jackson Jr.,[MEM 2-0] Jackson Jr. Driving Dunk Shot: Made (2 PTS),2
2021-11-24,22100273,MIL,DET,1,11:44,MIL,Jrue Holiday,[MIL 2-0] Holiday Cutting Dunk Shot: Made (2 PTS) Assist: Antetokounmpo (1 AST),2
2021-11-24,22100274,MIN,MIA,1,10:45,MIA,Duncan Robinson,[MIA 3-0] Robinson 3pt Shot: Made (3 PTS) Assist: Tucker (1 AST),3
2021-11-24,22100275,NOP,WAS,1,11:44,NOP,Jonas Valanciunas,[NOP 3-0] Valanciunas 3pt Shot: Made (3 PTS) Assist: Ingram (1 AST),3
2021-11-24,22100276,OKC,UTA,1,11:39,UTA,Mike Conley,[UTA 3-0] Conley 3pt Shot: Made (3 PTS) Assist: Mitchell (1 AST),3
2021-11-24,22100277,SAS,ATL,1,11:18,SAS,Keldon Johnson,[SAS 2-0] Johnson Driving Dunk Shot: Made (2 PTS) Assist: Murray (1 AST),2
2021-11-24,22100278,GSW,PHI,1,11:47,PHI,Tyrese Maxey,[PHI 2-0] Maxey Pullup Jump shot: Made (2 PTS) Assist: Thybulle (1 AST),2
2021-11-24,22100279,SAC,POR,1,11:30,SAC,De'Aaron Fox,[SAC 2-0] Fox Pullup Jump shot: Made (2 PTS),2
2021-11-26,22100280,LAC,DET,1,11:18,LAC,Marcus Morris Sr.,[LAC 2-0] Marc Morris Sr. Turnaround Jump Shot: Made (2 PTS),2
2021-11-26,22100281,CHA,MIN,1,11:26,MIN,D'Angelo Russell,[MIN 2-0] Russell Cutting Layup Shot: Made (2 PTS) Assist: Towns (1 AST),2
2021-11-26,22100282,NYK,PHX,1,11:35,PHX,Devin Booker,[PHX 2-0] Booker Pullup Jump shot: Made (2 PTS),2
2021-11-26,22100283,ORL,CHI,1,11:37,ORL,Wendell Carter Jr.,[ORL 3-0] Carter Jr. 3pt Shot: Made (3 PTS) Assist: Wagner (1 AST),3
2021-11-26,22100284,IND,TOR,1,11:10,TOR,Pascal Siakam,[TOR 2-0] Siakam Turnaround Jump Shot: Made (2 PTS),2
2021-11-26,22100285,MEM,ATL,1,11:40,MEM,Dillon Brooks,[MEM 2-0] Brooks Driving Floating Jump Shot: Made (2 PTS),2
2021-11-26,22100286,OKC,WAS,1,11:38,OKC,Josh Giddey,[OKC 2-0] Giddey Driving Layup Shot: Made (2 PTS) Assist: Dort (1 AST),2
2021-11-26,22100287,SAS,BOS,1,11:11,SAS,Dejounte Murray,[SAS 2-0] Murray Pullup Jump shot: Made (2 PTS),2
2021-11-26,22100288,DEN,MIL,1,11:24,MIL,Khris Middleton,[MIL 3-0] Middleton 3pt Shot: Made (3 PTS),3
